neighbourhood_group,neighbourhood,latitude,longitude
Staten Island,Port Richmond,40.63314888888888,-74.13383222222221
Staten Island,Prince's Bay,40.5257,-74.201255
Staten Island,Randall Manor,40.632749473684214,-74.12150421052631
Staten Island,Richmondtown,40.57093,-74.12429
Staten Island,Rosebank,40.61214857142858,-74.07099142857143
Staten Island,Rossville,40.5479,-74.21016999999998
Staten Island,Shore Acres,40.608822857142854,-74.06672428571426
Staten Island,Silver Lake,40.623395,-74.09649999999998
Staten Island,South Beach,40.59120125000001,-74.08733125
Staten Island,St. George,40.643308125,-74.08182270833333
Staten Island,Stapleton,40.63266333333333,-74.07849518518519
Staten Island,Todt Hill,40.603375,-74.110105
Staten Island,Tompkinsville,40.633134523809524,-74.08646476190476
Staten Island,Tottenville,40.50735000000001,-74.23939
Staten Island,West Brighton,40.631932222222225,-74.11595888888887
Staten Island,Westerleigh,40.613895,-74.13366500000002
Staten Island,Willowbrook,40.59886,-74.13217
Staten Island,Woodrow,40.53884,-74.19826
Manhattan,Sutton Place,40.7576,-73.9617
Manhattan,Carnegie Hill,40.7845,-73.9551
Manhattan,Tudor City,40.7488,-73.9716
Queens,Hunters Point,40.7486,-73.9496
Manhattan,Manhattanville,40.8169,-73.9558
Brooklyn,Bedford Stuyvesant,40.6872,-73.9418
Queens,Blissville,40.7347,-73.9378
Manhattan,Turtle Bay,40.7571,-73.9719
Brooklyn,Ocean Hill,40.6783,-73.9108
Manhattan,Clinton,40.7638,-73.9918
Manhattan,Governors Island,40.6895,-74.0168
Manhattan,Battery Park,40.7116,-74.0158
Queens,La Guardia Airport,40.7769,-73.8740
Bronx,East Tremont,40.8454,-73.8910
Manhattan,Hamilton Heights,40.8253,-73.9476
Brooklyn,Prospect Park South,40.6458,-73.9661
Bronx,High Bridge,40.8369,-73.9271
Queens,Astoria Heights,40.7688,-73.8916
Manhattan,Central Park,40.7829,-73.9654
Queens,Pomonok,40.7323,-73.8108
Brooklyn,Ocean Parkway,40.6782,-73.9442
Bronx,Van Cortlandt Park,40.8964,-73.8853
Brooklyn,Marine Park,40.6114,-73.9332
Brooklyn,Homecrest,40.6005,-73.9566
Brooklyn,Gerritsen Beach,40.5870,-73.9228
Bronx,Throggs Neck,40.8184,-73.8213
Brooklyn,Prospect Lefferts Gardens,40.6592,-73.9534
Staten Island,Pleasant Plains,40.5240,-74.2157
Manhattan,Murray-Hill,40.7479,-73.9757
Staten Island,Elm Park,40.6312,-74.1387
Manhattan,Downtown,40.7209,-74.0007
Manhattan,Columbus Circle,40.7680,-73.9819
Queens,Douglaston-Little Neck,40.7640,-73.7434
Staten Island,Annadale,40.5445,-74.1765
Queens,Auburndale,40.7578,-73.7834
Queens,Rockaway Park,40.5798,-73.8372
Brooklyn,Prospect Park,40.6602,-73.9690
Staten Island,Greenridge,40.5612,-74.1699
Queens,Broad Channel,40.6158,-73.8213
Queens,Forest Hills Gardens,40.7147,-73.8403
Queens,Glen Oaks,40.7472,-73.7118
Queens,Malba,40.7907,-73.8257
Staten Island,Butler Manor,40.5050,-74.2298
Queens,Clearview,40.7805,-73.7978
Queens,Floral park,40.7335,-73.7121
Staten Island,Bulls Head,40.6072,-74.1624
Queens,Oakland Gardens,40.7409,-73.7582
Staten Island,Heartland Village,40.5909,-74.1585
